ball,bowler_batsman,result,commentary,length,line
26.5,"Cummins to Rahane, no run",â€¢,"a little wider outside off, left alone...nice carry to Paine",Unknown,Outside Off
26.4,"Cummins to Rahane, no run",â€¢,"angled in at the stumps, full length, defended to the on side",Full,Unknown
26.3,"Cummins to Rahane, 2 runs",2,"touch fuller, Rahane comes forward into a confident push through the off side which gives mid-off a chase",Full,Off Stump
26.2,"Cummins to Rahane, no run",â€¢,"tight to off stump, 138kph, reasonably full and defended",Full,Off Stump
26.1,"Cummins to Rahane, no run",â€¢,"starts on off stump, as he so often does, defended to the on side",Unknown,Off Stump
25.6,"Lyon to Pujara, no run",â€¢,"short and turning down leg side, left alone",Short,Leg Stump
25.5,"Lyon to Pujara, no run",â€¢,"length on middle, gets deep in the crease and turns it to short fine off the back foot",Good,Off Stump
25.4,"Lyon to Pujara, no run",â€¢,"length outside off, steps out and kicks to silly point",Good,Outside Off
25.3,"Lyon to Pujara, no run",â€¢,"good length outside off, steps out and offers the pad",Good,Outside Off
25.2,"Lyon to Rahane, 1 run",1,"length at off stump, steps out and flicks towards deep mid-on",Good,Off Stump
25.1,"Lyon to Rahane, no run",â€¢,"short of a length at off stump, pushed back down the pitch off the back foot",Good,Off Stump
24.6,"Hazlewood to Pujara, no run",â€¢,"full and into middle stump, defended into the leg side",Full,Middle Stump
24.5,"Hazlewood to Rahane, 1 run",1,"short and just outside off, looks for the pull and that's onto him quickly. Under-edge into the vacant leg side to get off the mark",Short,Outside Off
24.4,"Hazlewood to Rahane, no run",â€¢,"good length and just outside off, defended into the covers",Good,Outside Off
24.3,"Hazlewood to Rahane, no run",â€¢,"good length at middle stump, defended down the pitch",Good,Middle Stump
24.2,"Hazlewood to Rahane, no run",â€¢,short and just outside off. Shaped to pull but seemed to stop and ended up patting it into the off side. That stuck in the pitch,Short,Outside Off
24.1,"Hazlewood to Rahane, no run",â€¢,"short of a length at off stump, defended on the back foot",Good,Off Stump
23.6,"Lyon to Pujara, no run",â€¢,"good length and into the pads, defended off the back foot",Good,Off Stump
23.5,"Lyon to Pujara, no run",â€¢,"short of a length, turning into middle stump. Whipped to midwicket off the back foot",Good,Off Stump
